id,name,a_column,b_column,c_column,d_column,e_column,f_column,g_column,h_column,i_column,j_column,k_column,l_column,m_column,n_column,o_column,p_column,q_column,r_column,s_column,t_column,u_column,v_column,tab_name,the_cell,project_id,year_1,year_2,year_3,year_4,year_5,year_6,year_7,year_8,year_9,year_10,year_11,year_12,year_3_thru_12,year_1_thru_12,w_column,x_column,y_column,z_column,aa_column,ab_column,short_term,total
2021991,Long-term,5.1,"Unit water heater, Replace",12,9,3,1,EA,15000,,Single-year event,0,0,,,,,,,,,,,,,583588,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,15000.0,,,,,,pca_reserve_desc_22b,,15000.0
2021899,Long-term,3.2.2,Asphalt seal coat & striping,5,0,5,233720,SF,.2,,Single-year event,0,0,,,,,,,,,,,,,583588,0.0,0.0,0.0,0.0,46744.0,0.0,0.0,0.0,0.0,46744.0,0.0,0.0,93488.0,93488.0,,,,,,pca_reserve_desc_50b,,93488.0
2019463,Short-term,4.4.2,"Areas of roof ponding and vegetation growth were observed at the roof of shipping warehouse building and Production building ""FB"". The ponding appears to be due to a clogged roof drain. Clearing of the drain is recommended.",Immediate (0-12 months),1,ALLOW,5000,5000.0,0,,,,,,,,,,,,,,,,,583608,,,,,,,,,,,,,,,,,,,,442p_drain_conddesc,,5000.0
2021865,Long-term,3.2.2,Asphalt seal coat & striping,5,3,2,35000,SF,0.2,,Single-year event,0,0,,,,,,,,,,,,,583577,0.0,7000.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,7000.0,14000.0,21000.0,,,,,,pca_reserve_desc_49b,,21000.0
2018198,Long-term,5.5.2,"Fire alarm panel, Replace",20,18,2,1,EA,15000,,Single-year event,0,0,,,,,,,,,,,,,583578,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,,,,,,pca_reserve_desc_34b,,15000.0
1709005,Short-term,4.3.1,Areas of stained brick were noted at various locations of the brick veneer. Pressure washing of the brick is recommended.  ,Immediate (0-12 months),1,LS,3500,3500.0,0,,,,,,,,,,,,,,,Short-term cost input,6.0,246478,,,,,,,,,,,,,,,,,,,,,,3500.0
2022049,Long-term,4.3.1,"Exterior cleaning, painting, sealing",8,1,7,96000,SF,1.5,,Single-year event,0,0,,,,,,,,,,,,,583605,0.0,0.0,0.0,0.0,0.0,0.0,144000.0,0.0,0.0,0.0,0.0,0.0,144000.0,144000.0,,,,,,pca_reserve_desc_52b,,144000.0
2020353,Short-term,4.4.1,"Retail Building roof, Replace",Short-term (12-24 months),35000,SF,14,0,490000.0,,,,,,,,,,,,,,,,,583571,,,,,,,,,,,,,,,,,,,,441f_rfconddesc,,490000.0
2019784,Long-term,4.3.1,"Exterior cleaning, masonry pointing, sealing",8,5,3,38450,SF,2,,Single-year event,0,0,,,,,,,,,,,,,583586,0.0,0.0,76900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76900.0,0.0,153800.0,153800.0,,,,,,pca_reserve_desc_52b,,153800.0
2004739,Long-term,6.5.2,"Apartment carpet, Replace",7,6,1,65,EA,600,,Rolling,0,0,,,,,,,,,,,,,567661,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,60000.0,72000.0,,,,,,pca_reserve_desc_40b,,72000.0
2000805,Long-term,4.3.1,"Exterior cleaning, painting, sealing",8,4,4,223,UNIT,300,,Single-year event,0,0,,,,,,,,,,,,,567663,0.0,0.0,0.0,66900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66900.0,133800.0,133800.0,,,,,,pca_reserve_desc_53b,,133800.0
2024299,Long-term,4.4.1,Elastomeric Coating on metal roofs,15,12,3,123400,SF,3,,Single-year event,,,,,,,,,,,,,,,583607,0.0,0.0,370200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370200.0,370200.0,,,,,,pca_reserve_desc_18b,,370200.0
2019611,Long-term,4.3.1,"Exterior cleaning, masonry pointing, sealing",8,0,8,55000,SF,1.5,,Single-year event,0,0,,,,,,,,,,,,,583602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82500.0,0.0,0.0,0.0,0.0,82500.0,82500.0,,,,,,pca_reserve_desc_53b,,82500.0
1709304,Short-term,7.0,Provide Van Accessible Space,Short-term (12-24 months),1,EA,250,0,250.0,,,,,,,,,,,,,,,Short-term cost input,12.0,246083,,,,,,,,,,,,,,,,,,,,3.2.2,,250.0
2022235,Short-term,3.2.2,"During the site visit, Partner noted extensive linear and alligator cracks specifically along the perimeters of the Office, Rice Plant and Warehouse 3 specifically along the driveway entrances, employee and visitor’s parking areas. Partner observed in fair condition and faded parking stripe and markings specifically along the trailer parking area. A full-depth replacement is recommended to the entire parking areas including restriping of parking stalls and markings. ",Immediate (0-12 months),85000,SF,2.5,212500.0,0,,,,,,,,,,,,,,,,,583603,,,,,,,,,,,,,,,,,,,,322s_pavement_def,,212500.0
2021492,Long-term,4.4.1,Roof replacement - EPDM,20,18,2,113000,SF,10,,Single-year event,,,,,,,,,,,,,,,583590,0.0,1130000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130000.0,,,,,,pca_reserve_desc_18b,,1130000.0
2020963,Long-term,5.2,"Split-system condenser, Replace",20,10,10,6,EA,3000,,Spread,9,4,,,,,,,,,,,,,583555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,4500.0,4500.0,4500.0,18000.0,18000.0,,,,,,pca_reserve_desc_24b,,18000.0
2021974,Long-term,4.3.1,"Exterior cleaning, masonry pointing, sealing",8,5,3,42000,SF,.5,,Single-year event,0,0,,,,,,,,,,,,,583588,0.0,0.0,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,0.0,42000.0,42000.0,,,,,,pca_reserve_desc_52b,,42000.0
1712624,Short-term,4.3.1,Damaged metal panels were observed on the southwestern and southeastern corners of Building D. Repair of the affected areas is recommended. ,Immediate (0-12 months),1,LS,3000,3000.0,0,,,,,,,,,,,,,,,Short-term cost input,12.0,246344,,,,,,,,,,,,,,,,,,,,,,3000.0
2019993,Long-term,4.4.1,Roof replacement - TPO,20,10,10,99610,SF,12,,Single-year event,0,0,,,,,,,,,,,,,583586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1195320.0,0.0,0.0,1195320.0,1195320.0,,,,,,pca_reserve_desc_18b,,1195320.0
1709352,Long-term,4.3.1,"Exterior cleaning, masonry pointing, sealing",8,3,5,42000,SF,1,,Single-year event,,,4,42000,,,,,,,,,Long-term cost input,16.0,246077,0.0,0.0,0.0,0.0,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42000.0,42000.0,,,,,,,,42000.0
