portfolio_id,project_id,section_reference,category,section,subsection,cost_related,docu_txt
231,246074,1.1,Property Description,GENERAL PROPERTY DATA - EXECUTIVE SUMMARY TABLE,,False,ADA-designated parking count - Property Data is 14 standard ADA accessible spaces
231,246074,3.1,Property Characteristics,Parcel Configuration,,False,"Acreage is and comprised approximately 16.725 acres., Acreage source is (per the Franklin County Auditor)"
231,246074,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",False,ADA (including van spaces) is 14
231,246074,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,False,Accessory Area Heating Type is Accessory areas such as mechanical rooms and vestibules were heated by wall mounted unit heaters.
231,246074,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",,"There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 270000 SF that have 4 years remaining useful life with total cost of 32400.0 dollars, year 4 costs $32400.0, year 9 costs $32400.0."
231,246074,3.2.9,,,,,"There is an Spread Reserve cost item regarding Swimming pool liner, Resurface for total unit of 2 EA that have 5 years remaining useful life with total cost of 24000.0 dollars, year 5 costs $12000.0, year 6 costs $12000.0., There is an Spread Reserve cost item regarding Pool/spa filtration/circulation equipment replacement for total unit of 4 EA that have 3 years remaining useful life with total cost of 6000.0 dollars, year 3 costs $1500.0, year 4 costs $1500.0, year 5 costs $1500.0, year 6 costs $1500.0., There is an Spread Reserve cost item regarding Spa liner, Resurface for total unit of 2 EA that have 5 years remaining useful life with total cost of 6000.0 dollars, year 5 costs $3000.0, year 6 costs $3000.0."
231,246074,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior cleaning, painting, sealing for total unit of 25000 SF that have 4 years remaining useful life with total cost of 25000.0 dollars, year 4 costs $25000.0, year 12 costs $25000.0."
231,246074,4.4.1,,,,,"There is an Single-year event Reserve cost item regarding Roof replacement - BUR for total unit of 62180 SF that have 6 years remaining useful life with total cost of 373080.0 dollars, year 6 costs $373080.0."
231,246074,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,,"There is an Spread Reserve cost item regarding HVAC package unit (RTU), Replace for total unit of 225 TON that have 6 years remaining useful life with total cost of 0.0 dollars."
231,246074,5.4.1,,,,,"There is an Single-year event Reserve cost item regarding Elevator cabs interiors, Replace for total unit of 1 EA that have 3 years remaining useful life with total cost of 10000.0 dollars, year 3 costs $10000.0."
