portfolio_id,project_id,section_reference,category,section,subsection,cost_related,docu_txt
231,246065,1.1,Property Description,GENERAL PROPERTY DATA - EXECUTIVE SUMMARY TABLE,,False,ADA-designated parking count - Property Data is 14
231,246065,3.1,Property Characteristics,Parcel Configuration,,False,"Acreage is and comprised approximately 9.51 acres., Acreage source is per the St. Louis County Assessor"
231,246065,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",False,"ADA (including van spaces) is including 14 ADA-designated space,"
231,246065,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",,"There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 264000 SF that have 5 years remaining useful life with total cost of 31680.0 dollars, year 5 costs $31680.0, year 10 costs $31680.0."
231,246065,3.2.9,,,,,"There is an Spread Reserve cost item regarding Pool/spa filtration/circulation equipment replacement for total unit of 4 EA that have 4 years remaining useful life with total cost of 7000.0 dollars, year 4 costs $3500.0, year 5 costs $3500.0., There is an Single-year event Reserve cost item regarding Swimming pool liner, Resurface for total unit of 2 EA that have 6 years remaining useful life with total cost of 15000.0 dollars, year 6 costs $15000.0., There is an Single-year event Reserve cost item regarding Spa liner, Resurface for total unit of 2 EA that have 6 years remaining useful life with total cost of 6000.0 dollars, year 6 costs $6000.0."
231,246065,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior cleaning, masonry pointing, sealing for total unit of 22000 SF that have 6 years remaining useful life with total cost of 22000.0 dollars, year 6 costs $22000.0."
231,246065,4.4.1,,,,,"There is an Single-year event Reserve cost item regarding Roof replacement - BUR for total unit of 68000 SF that have 8 years remaining useful life with total cost of 408000.0 dollars, year 8 costs $408000.0."
231,246065,5.1,,,,,"There is an Spread Reserve cost item regarding Central water heater, Replace for total unit of 3 EA that have 3 years remaining useful life with total cost of 7200.0 dollars, year 3 costs $2400.0, year 4 costs $2400.0, year 5 costs $2400.0."
231,246065,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,,"There is an Spread Reserve cost item regarding HVAC package unit (RTU), Replace for total unit of 307.5 TON that have 8 years remaining useful life with total cost of 369000.0 dollars, year 8 costs $18450.0, year 9 costs $18450.0, year 10 costs $18450.0, year 11 costs $18450.0, year 12 costs $18450.0."
231,246065,5.4.1,,,,,"There is an Single-year event Reserve cost item regarding Elevator cabs interiors, Replace for total unit of 1 EA that have 8 years remaining useful life with total cost of 0.0 dollars."
231,246065,6.5.5,,,,,"There is an Spread Reserve cost item regarding Apartment dryer, Replace for total unit of 12 EA that have 1 years remaining useful life with total cost of 0.0 dollars., There is an Spread Reserve cost item regarding Apartment washer, Replace for total unit of 4 EA that have 1 years remaining useful life with total cost of 0.0 dollars."
